[2026-04-24 11:19:01.562] ===== PROGRAM STARTED =====
[2026-04-24 11:19:01.563] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:01.584] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:01.604] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:01.625] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:01.646] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:01.667] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:01.688] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:01.708] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:01.729] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:01.750] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:01.771] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:01.792] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:01.813] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:01.834] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:01.855] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:01.875] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:01.896] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:01.917] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:01.938] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:01.958] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:01.979] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:02.000] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:02.021] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:02.042] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:02.062] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:02.083] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:02.104] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:02.125] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:02.146] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:02.166] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:02.187] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:02.208] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:02.229] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:02.250] PUBLISH -> linear.x=0.00, angular.z=0.00
