[2026-04-25 14:16:30.357] ===== PROGRAM STARTED =====
[2026-04-25 14:16:30.362] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.383] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.405] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.428] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.455] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.477] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.498] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.519] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.540] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.562] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.584] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.605] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.626] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.647] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.668] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.688] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.709] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.730] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.751] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.772] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.792] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.813] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.834] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.854] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.875] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.896] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.918] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.939] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.961] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:30.982] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:31.004] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:31.025] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:31.047] PUBLISH -> linear.x=0.00, angular.z=-0.00
