[2026-04-26 12:26:53.347] ===== PROGRAM STARTED =====
[2026-04-26 12:26:53.352] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.373] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.394] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.415] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.436] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.457] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.478] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.499] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.520] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.541] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.562] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.584] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.605] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.626] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.647] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.668] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.690] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.711] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.733] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.754] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.775] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.797] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.818] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.840] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.861] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.882] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.903] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.924] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.946] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.967] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:53.988] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:54.009] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:54.031] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:54.052] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:54.073] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:54.094] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:54.115] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:54.137] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:54.158] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:54.179] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:54.200] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:54.221] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:54.242] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:54.263] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:54.285] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:54.306] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:54.328] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:54.349] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:54.370] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:26:54.391] PUBLISH -> linear.x=0.00, angular.z=-0.00
