[2026-04-22 14:21:27.974] ===== PROGRAM STARTED =====
[2026-04-22 14:21:27.975] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:27.996] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:28.018] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:28.040] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:28.061] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:28.082] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:28.103] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:28.124] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:28.145] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:28.166] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:28.189] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:28.210] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:28.231] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:28.254] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:28.275] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:28.296] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:28.318] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:28.339] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:28.360] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:28.383] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:28.404] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:28.426] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:28.447] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:28.469] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:21:28.490] PUBLISH -> linear.x=0.00, angular.z=-0.00
