[2026-04-22 14:54:24.001] ===== PROGRAM STARTED =====
[2026-04-22 14:54:24.005] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.027] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.049] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.069] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.090] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.111] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.132] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.152] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.173] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.194] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.215] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.235] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.256] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.277] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.299] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.320] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.342] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.362] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.383] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.404] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.424] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.445] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.467] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.488] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.509] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.533] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.553] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.574] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.595] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.616] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.637] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.657] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.678] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.699] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.720] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.740] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.761] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.787] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.807] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.828] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.849] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.870] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.891] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.912] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.934] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.955] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.976] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:24.997] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:25.018] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:25.039] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:25.060] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:54:25.081] KEY PRESS: UP (Forward)
[2026-04-22 14:54:25.082] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.103] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.124] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.145] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.166] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.187] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.208] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.230] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.251] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.273] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.294] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.315] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.336] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.358] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.379] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.400] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.421] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.442] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.463] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.485] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.506] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.527] PUBLISH -> linear.x=0.25, angular.z=-0.00
